uai,rentree_scolaire,academie,departement,commune,denomination_principale,secteur,nb_eleves,rep,rep_plus,ips,nb_candidats_g,taux_de_reussite_g,va_du_taux_de_reussite_g,note_a_lecrit_g,va_de_la_note_g,taux_dacces_6eme_3eme,part_presents_3eme_ordinaire_total,part_mention_ab_g,part_mention_b_g,part_mention_tb_g,part_mention_global_g
0080925M,2019-01-01,REIMS,ARDENNES,CHARLEVILLE-MEZIERES,COLLEGE,PUBLIC,309,0,1,63.2,58,74.0,5.0,8.2,0.1,79.0,92.0,24.14,20.69,12.07,56.90
0100056G,2019-01-01,REIMS,AUBE,TROYES,COLLEGE PRIVE,PRIVE,236,0,0,117.5,60,95.0,2.0,12.9,1.1,77.0,100.0,13.33,38.33,21.67,73.33
0101031S,2019-01-01,REIMS,AUBE,PONT-SAINTE-MARIE,COLLEGE,PUBLIC,643,0,0,97.5,129,69.0,-16.0,9.9,-0.9,89.0,95.0,16.28,20.93,17.05,54.26
0510051D,2019-01-01,REIMS,MARNE,SAINT-THIERRY,COLLEGE,PUBLIC,436,0,0,118.7,109,96.0,1.0,12.2,0.1,98.0,100.0,22.94,32.11,22.94,77.98
0511961E,2019-01-01,REIMS,MARNE,CORMONTREUIL,COLLEGE,PUBLIC,542,0,0,98.8,124,72.0,-14.0,10.1,-0.3,90.0,96.0,14.52,13.71,21.77,50.00
0520006Z,2019-01-01,REIMS,HAUTE-MARNE,CHATEAUVILLAIN,COLLEGE,PUBLIC,199,0,0,97.9,40,78.0,-10.0,11.0,0.4,94.0,100.0,12.50,22.50,22.50,57.50
0520794F,2019-01-01,REIMS,HAUTE-MARNE,CHALINDREY,COLLEGE,PUBLIC,213,0,0,97.6,31,71.0,,10.4,,92.0,91.0,22.58,19.35,19.35,61.29
0520822L,2019-01-01,REIMS,HAUTE-MARNE,JOINVILLE,COLLEGE,PUBLIC,309,1,0,84.7,65,88.0,1.0,10.0,-0.4,94.0,97.0,20.00,27.69,23.08,70.77
0540011U,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,CIREY-SUR-VEZOUZE,COLLEGE,PUBLIC,363,0,0,89.5,57,89.0,2.0,11.3,0.6,93.0,93.0,15.79,17.54,38.60,71.93
0540071J,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,VEZELISE,COLLEGE,PUBLIC,448,0,0,114.8,85,99.0,3.0,13.4,1.0,95.0,99.0,14.12,27.06,41.18,82.35
0540071J,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,VEZELISE,COLLEGE,PUBLIC,448,0,0,114.8,90,100.0,2.0,13.6,0.6,97.0,98.0,11.11,36.67,45.56,93.33
0540078S,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,CUSTINES,COLLEGE,PUBLIC,320,0,0,112.6,76,91.0,-5.0,11.5,-0.4,97.0,98.0,17.11,26.32,31.58,75.00
0541210X,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,TOUL,COLLEGE,PUBLIC,479,0,0,111.4,113,88.0,-5.0,10.8,-0.9,95.0,95.0,23.01,24.78,20.35,68.14
0541210X,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,TOUL,COLLEGE,PUBLIC,479,0,0,111.4,109,92.0,-2.0,11.5,-0.3,92.0,98.0,19.27,22.94,33.03,75.23
0541325X,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,DOMBASLE-SUR-MEURTHE,COLLEGE,PUBLIC,460,0,0,110.8,100,85.0,-4.0,9.7,-1.3,91.0,100.0,29.00,23.00,13.00,65.00
0541515D,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,VANDOEUVRE-LES-NANCY,COLLEGE,PUBLIC,468,1,0,79.3,106,75.0,-3.0,10.2,1.0,86.0,97.0,17.92,18.87,21.70,58.49
0541573S,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,NEUVES-MAISONS,COLLEGE,PUBLIC,641,0,0,113.6,110,95.0,1.0,12.2,0.1,90.0,97.0,17.27,26.36,41.82,85.45
0541999E,2019-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,TOUL,COLLEGE PRIVE,PRIVE,435,0,0,110.0,101,99.0,3.0,12.5,0.2,94.0,98.0,21.78,39.60,24.75,86.14
