uai,rentree_scolaire,academie,departement,commune,denomination_principale,secteur,nb_eleves,ips_voie_gt,ips_voie_pro,ips_ensemble_gt_pro,taux_de_reussite,va_taux_de_reussite,taux_de_mentions,va_du_taux_de_mentions,effectif_de_2de,effectif_de_1re,effectif_de_ter,taux_dacces_2nde_bac,va_taux_dacces_2nde_bac,taux_dacces_1re_bac,va_du_taux_dacces_1re_bac,taux_dacces_term_bac,va_du_taux_dacces_term_bac,part_mention_ab,part_mention_b,part_mention_tb_sf,part_mention_tb_af
0680073K,2020-01-01,STRASBOURG,HAUT-RHIN,THANN,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,909,116.2,,116.2,98.0,0.0,74.0,0.0,316.0,287.0,261.0,94.0,4.0,98.0,1.0,100.0,1.0,,,,
0080053P,2020-01-01,REIMS,ARDENNES,VOUZIERS,LYCEE GENERAL,PUBLIC,244,108.7,,108.7,97.0,-2.0,72.0,-4.0,98.0,77.0,74.0,88.0,-2.0,96.0,-1.0,99.0,0.0,,,,
0100003Z,2020-01-01,REIMS,AUBE,BAR-SUR-AUBE,LYCEE POLYVALENT,PUBLIC,386,104.2,79.0,97.5,97.0,0.0,60.0,-2.0,138.0,120.0,120.0,93.0,3.0,99.0,3.0,100.0,2.0,,,,
0100015M,2020-01-01,REIMS,AUBE,ROMILLY-SUR-SEINE,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,987,100.2,,100.2,92.0,-4.0,56.0,-4.0,388.0,338.0,301.0,84.0,-3.0,94.0,-1.0,96.0,-1.0,,,,
0100023W,2020-01-01,REIMS,AUBE,TROYES,LYCEE POLYVALENT,PUBLIC,1169,95.9,72.9,89.9,91.0,-4.0,58.0,1.0,352.0,418.0,402.0,82.0,-4.0,89.0,-5.0,94.0,-2.0,,,,
0100047X,2020-01-01,REIMS,AUBE,TROYES,LYCEE GENERAL PRIVE,PRIVE,383,128.2,,128.2,99.0,0.0,82.0,2.0,137.0,126.0,127.0,87.0,-4.0,96.0,-1.0,97.0,-2.0,,,,
0510062R,2020-01-01,REIMS,MARNE,VITRY-LE-FRANCOIS,LYCEE POLYVALENT,PUBLIC,688,102.5,79.0,95.1,95.0,-1.0,54.0,-9.0,253.0,223.0,218.0,93.0,4.0,96.0,1.0,98.0,0.0,,,,
0511146U,2020-01-01,REIMS,MARNE,REIMS,LYCEE POLYVALENT PRIVE DES MET,PRIVE,169,121.2,108.3,112.8,98.0,0.0,69.0,6.0,56.0,59.0,46.0,82.0,-6.0,90.0,-6.0,98.0,0.0,,,,
0511565Z,2020-01-01,REIMS,MARNE,REIMS,LPO LYCEE DES METIERS,PUBLIC,279,102.8,86.3,96.9,95.0,-1.0,74.0,15.0,131.0,100.0,76.0,85.0,-3.0,93.0,-2.0,96.0,-2.0,,,,
0521032P,2020-01-01,REIMS,HAUTE-MARNE,CHAUMONT,LPO LYCEE DES METIERS,PUBLIC,595,112.2,85.4,110.2,98.0,0.0,68.0,-3.0,214.0,164.0,192.0,89.0,-1.0,96.0,0.0,98.0,0.0,,,,
0540040A,2020-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,974,114.8,,114.8,99.0,2.0,66.0,-1.0,340.0,332.0,338.0,91.0,2.0,97.0,2.0,99.0,1.0,,,,
