uai,rentree_scolaire,region_academique,academie,departement,commune,denomination_principale,secteur,nb_eleves,rep,ips
0341065Y,2019-01-01,OCCITANIE,MONTPELLIER,HERAULT,SETE,COLLEGE,PUBLIC,448,0,76.6
0480025S,2019-01-01,OCCITANIE,MONTPELLIER,LOZERE,MENDE,LYCEE POLYVALENT PRIVE,PRIVE,13,0,106.8
0480607Z,2019-01-01,OCCITANIE,MONTPELLIER,LOZERE,MENDE,COLLEGE,PUBLIC,775,0,114.0
0480034B,2019-01-01,OCCITANIE,MONTPELLIER,LOZERE,MEYRUEIS,COLLEGE PRIVE,PRIVE,75,0,100.4
0480038F,2019-01-01,OCCITANIE,MONTPELLIER,LOZERE,SAINT-CHELY-D'APCHER,COLLEGE PRIVE,PRIVE,262,0,108.1
0480680D,2019-01-01,OCCITANIE,MONTPELLIER,LOZERE,SAINT-CHELY-D'APCHER,LYC POLYVAL PRIVE DES METIERS,PRIVE,26,0,106.6
0480015F,2019-01-01,OCCITANIE,MONTPELLIER,LOZERE,SAINT-ETIENNE-VALLEE-FRANCAISE,COLLEGE,PUBLIC,63,0,103.0
0660001T,2019-01-01,OCCITANIE,MONTPELLIER,PYRENEES-ORIENTALES,ARGELES-SUR-MER,COLLEGE,PUBLIC,596,0,95.4
0660924W,2019-01-01,OCCITANIE,MONTPELLIER,PYRENEES-ORIENTALES,ARGELES-SUR-MER,LYCEE POLYVALENT,PUBLIC,24,0,99.6
0660018L,2019-01-01,OCCITANIE,MONTPELLIER,PYRENEES-ORIENTALES,PERPIGNAN,COLLEGE,PUBLIC,496,0,69.9
0660062J,2019-01-01,OCCITANIE,MONTPELLIER,PYRENEES-ORIENTALES,PERPIGNAN,COLLEGE PRIVE,PRIVE,487,0,128.6
0660078B,2019-01-01,OCCITANIE,MONTPELLIER,PYRENEES-ORIENTALES,PERPIGNAN,ETAB.REGIONAL ENSEIGNT ADAPTE,PUBLIC,64,0,
0660520G,2019-01-01,OCCITANIE,MONTPELLIER,PYRENEES-ORIENTALES,PERPIGNAN,LP LYCEE DES METIERS,PUBLIC,24,0,87.6
0660022R,2019-01-01,OCCITANIE,MONTPELLIER,PYRENEES-ORIENTALES,PRADES,COLLEGE,PUBLIC,628,0,99.5
0660037G,2019-01-01,OCCITANIE,MONTPELLIER,PYRENEES-ORIENTALES,RIVESALTES,COLLEGE,PUBLIC,700,0,90.2
0660846L,2019-01-01,OCCITANIE,MONTPELLIER,PYRENEES-ORIENTALES,SAINT-CYPRIEN,COLLEGE PRIVE,PRIVE,380,0,123.9
0660026V,2019-01-01,OCCITANIE,MONTPELLIER,PYRENEES-ORIENTALES,VILLELONGUE-DELS-MONTS,LP LYCEE DES METIERS,PUBLIC,51,0,80.7
0090001C,2019-01-01,OCCITANIE,TOULOUSE,ARIEGE,AX-LES-THERMES,COLLEGE,PUBLIC,200,0,107.9
0090478W,2019-01-01,OCCITANIE,TOULOUSE,ARIEGE,FOIX,COLLEGE,PUBLIC,845,0,110.5
0090006H,2019-01-01,OCCITANIE,TOULOUSE,ARIEGE,LAVELANET,LP LYCEE DES METIERS,PUBLIC,13,0,88.7
0090010M,2019-01-01,OCCITANIE,TOULOUSE,ARIEGE,LE MAS-D'AZIL,COLLEGE,PUBLIC,254,0,105.8
0090037S,2019-01-01,OCCITANIE,TOULOUSE,ARIEGE,PAMIERS,COLLEGE PRIVE,PRIVE,428,0,106.9
0090055L,2019-01-01,OCCITANIE,TOULOUSE,ARIEGE,PAMIERS,COLLEGE,PUBLIC,673,0,101.2
0090481Z,2019-01-01,OCCITANIE,TOULOUSE,ARIEGE,PAMIERS,ETAB.REGIONAL ENSEIGNT ADAPTE,PUBLIC,65,0,
0090591U,2019-01-01,OCCITANIE,TOULOUSE,ARIEGE,PAMIERS,COLLEGE PRIVE,PRIVE,345,0,101.5
0090574A,2019-01-01,OCCITANIE,TOULOUSE,ARIEGE,SAINT-GIRONS,COLLEGE,PUBLIC,680,0,100.5
0120032V,2019-01-01,OCCITANIE,TOULOUSE,AVEYRON,BARAQUEVILLE,COLLEGE,PUBLIC,520,0,116.9
0120081Y,2019-01-01,OCCITANIE,TOULOUSE,AVEYRON,BELMONT-SUR-RANCE,COLLEGE PRIVE,PRIVE,178,0,105.0
0120002M,2019-01-01,OCCITANIE,TOULOUSE,AVEYRON,CAPDENAC-GARE,COLLEGE,PUBLIC,225,0,108.7
0120084B,2019-01-01,OCCITANIE,TOULOUSE,AVEYRON,CASSAGNES-BEGONHES,COLLEGE PRIVE,PRIVE,79,0,104.3
0120622L,2019-01-01,OCCITANIE,TOULOUSE,AVEYRON,DECAZEVILLE,COLLEGE,PUBLIC,407,1,93.5
0121273U,2019-01-01,OCCITANIE,TOULOUSE,AVEYRON,ONET-LE-CHATEAU,COLLEGE,PUBLIC,470,0,102.0
0120018E,2019-01-01,OCCITANIE,TOULOUSE,AVEYRON,PONT-DE-SALARS,COLLEGE,PUBLIC,322,0,109.4
0121133S,2019-01-01,OCCITANIE,TOULOUSE,AVEYRON,RODEZ,COLLEGE,PUBLIC,456,0,100.3
0121430P,2019-01-01,OCCITANIE,TOULOUSE,AVEYRON,RODEZ,COLLEGE PRIVE,PRIVE,955,0,113.7
0121255Z,2019-01-01,OCCITANIE,TOULOUSE,AVEYRON,VILLEFRANCHE-DE-ROUERGUE,COLLEGE PRIVE,PRIVE,304,0,103.3
0121260E,2019-01-01,OCCITANIE,TOULOUSE,AVEYRON,VILLEFRANCHE-DE-ROUERGUE,LYCEE PROFESSIONNEL PRIVE,PRIVE,12,0,95.8
0320067Z,2019-01-01,OCCITANIE,TOULOUSE,GERS,AUCH,LPO LYCEE DES METIERS,PUBLIC,26,0,109.5
0320650H,2019-01-01,OCCITANIE,TOULOUSE,GERS,AUCH,COLLEGE PRIVE,PRIVE,484,0,119.6
0320010M,2019-01-01,OCCITANIE,TOULOUSE,GERS,CONDOM,COLLEGE,PUBLIC,439,0,97.0
0320015T,2019-01-01,OCCITANIE,TOULOUSE,GERS,LECTOURE,LYCEE POLYVALENT,PUBLIC,21,0,106.9
0320017V,2019-01-01,OCCITANIE,TOULOUSE,GERS,LECTOURE,COLLEGE,PUBLIC,429,0,99.7
0320019X,2019-01-01,OCCITANIE,TOULOUSE,GERS,MARCIAC,COLLEGE,PUBLIC,199,0,118.0
0320035P,2019-01-01,OCCITANIE,TOULOUSE,GERS,MIRANDE,COLLEGE,PUBLIC,293,0,106.0
0320025D,2019-01-01,OCCITANIE,TOULOUSE,GERS,NOGARO,LPO LYCEE DES METIERS,PUBLIC,21,0,98.4
0320029H,2019-01-01,OCCITANIE,TOULOUSE,GERS,RISCLE,COLLEGE,PUBLIC,205,0,105.2
0310001H,2019-01-01,OCCITANIE,TOULOUSE,HAUTE-GARONNE,ASPET,COLLEGE,PUBLIC,213,0,105.1
0311334G,2019-01-01,OCCITANIE,TOULOUSE,HAUTE-GARONNE,BAGNERES-DE-LUCHON,LPO LYCEE DES METIERS,PUBLIC,16,0,118.7
0311330C,2019-01-01,OCCITANIE,TOULOUSE,HAUTE-GARONNE,BALMA,COLLEGE,PUBLIC,813,0,117.2
0312799Z,2019-01-01,OCCITANIE,TOULOUSE,HAUTE-GARONNE,BESSIERES,COLLEGE,PUBLIC,611,0,119.1
0311965T,2019-01-01,OCCITANIE,TOULOUSE,HAUTE-GARONNE,BLAGNAC,COLLEGE PRIVE,PRIVE,506,0,141.2
0310007P,2019-01-01,OCCITANIE,TOULOUSE,HAUTE-GARONNE,BOULOGNE-SUR-GESSE,COLLEGE,PUBLIC,200,0,96.6
0311092U,2019-01-01,OCCITANIE,TOULOUSE,HAUTE-GARONNE,COLOMIERS,LP LYCEE DES METIERS,PUBLIC,23,0,97.1
0312337X,2019-01-01,OCCITANIE,TOULOUSE,HAUTE-GARONNE,LEGUEVIN,COLLEGE,PUBLIC,648,0,127.9
0312697N,2019-01-01,OCCITANIE,TOULOUSE,HAUTE-GARONNE,LHERM,COLLEGE,PUBLIC,616,0,112.4
0312822Z,2019-01-01,OCCITANIE,TOULOUSE,HAUTE-GARONNE,MURET,LPO LYCEE DES METIERS,PUBLIC,30,0,113.5
0312868Z,2019-01-01,OCCITANIE,TOULOUSE,HAUTE-GARONNE,NOE,COLLEGE,PUBLIC,791,0,114.9
0311176K,2019-01-01,OCCITANIE,TOULOUSE,HAUTE-GARONNE,PIBRAC,COLLEGE PRIVE,PRIVE,619,0,140.4
0312071H,2019-01-01,OCCITANIE,TOULOUSE,HAUTE-GARONNE,PLAISANCE-DU-TOUCH,COLLEGE,PUBLIC,728,0,119.5
0312762J,2019-01-01,OCCITANIE,TOULOUSE,HAUTE-GARONNE,QUINT-FONSEGRIVES,COLLEGE,PUBLIC,460,0,135.3
0311209W,2019-01-01,OCCITANIE,TOULOUSE,HAUTE-GARONNE,REVEL,COLLEGE  PRIVE,PRIVE,141,0,103.6
0311851U,2019-01-01,OCCITANIE,TOULOUSE,HAUTE-GARONNE,SAINT-GAUDENS,COLLEGE,PUBLIC,390,0,95.8
0310092G,2019-01-01,OCCITANIE,TOULOUSE,HAUTE-GARONNE,TOULOUSE,COLLEGE,PUBLIC,674,0,116.9
0311112R,2019-01-01,OCCITANIE,TOULOUSE,HAUTE-GARONNE,TOULOUSE,COLLEGE,PUBLIC,654,1,90.3
0311144A,2019-01-01,OCCITANIE,TOULOUSE,HAUTE-GARONNE,TOULOUSE,COLLEGE PRIVE,PRIVE,422,0,120.6
0311169C,2019-01-01,OCCITANIE,TOULOUSE,HAUTE-GARONNE,TOULOUSE,COLLEGE PRIVE,PRIVE,347,0,124.8
0311232W,2019-01-01,OCCITANIE,TOULOUSE,HAUTE-GARONNE,TOULOUSE,COLLEGE,PUBLIC,327,1,94.7
0311235Z,2019-01-01,OCCITANIE,TOULOUSE,HAUTE-GARONNE,TOULOUSE,COLLEGE,PUBLIC,333,0,65.9
0311265G,2019-01-01,OCCITANIE,TOULOUSE,HAUTE-GARONNE,TOULOUSE,COLLEGE,PUBLIC,534,0,75.2
0311324W,2019-01-01,OCCITANIE,TOULOUSE,HAUTE-GARONNE,TOULOUSE,LYCEE PROFESSIONNEL,PUBLIC,16,0,81.4
0311332E,2019-01-01,OCCITANIE,TOULOUSE,HAUTE-GARONNE,TOULOUSE,COLLEGE,PUBLIC,479,0,103.4
0312064A,2019-01-01,OCCITANIE,TOULOUSE,HAUTE-GARONNE,TOULOUSE,LP PR LYCEE DES METIERS,PRIVE,10,0,87.3
0311335H,2019-01-01,OCCITANIE,TOULOUSE,HAUTE-GARONNE,VERFEIL,COLLEGE,PUBLIC,428,0,131.0
0650877A,2019-01-01,OCCITANIE,TOULOUSE,HAUTES-PYRENEES,LOURDES,COLLEGE PRIVE,PRIVE,507,0,101.9
0650088T,2019-01-01,OCCITANIE,TOULOUSE,HAUTES-PYRENEES,SEMEAC,COLLEGE,PUBLIC,546,0,106.0
0650034J,2019-01-01,OCCITANIE,TOULOUSE,HAUTES-PYRENEES,TARBES,COLLEGE,PUBLIC,543,1,87.7
0650067V,2019-01-01,OCCITANIE,TOULOUSE,HAUTES-PYRENEES,TARBES,LYCEE PROFESSIONNEL PRIVE,PRIVE,32,0,73.8
0650075D,2019-01-01,OCCITANIE,TOULOUSE,HAUTES-PYRENEES,VIC-EN-BIGORRE,COLLEGE PRIVE,PRIVE,96,0,92.3
0460051F,2019-01-01,OCCITANIE,TOULOUSE,LOT,CAHORS,LYCEE PROFESSIONNEL,PUBLIC,15,0,89.0
0460592U,2019-01-01,OCCITANIE,TOULOUSE,LOT,GOURDON,COLLEGE,PUBLIC,512,0,102.9
0460015S,2019-01-01,OCCITANIE,TOULOUSE,LOT,LACAPELLE-MARIVAL,COLLEGE,PUBLIC,267,0,111.1
0460028F,2019-01-01,OCCITANIE,TOULOUSE,LOT,SOUILLAC,LPO LYCEE DES METIERS,PUBLIC,14,0,102.8
