,rentree_scolaire,region_academique,academie,departement,code_postal,commune,uai,denomination_principale,patronyme,secteur,nombre_d_eleves
0,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,3000,MOULINS,0031041R,LYCEE TECHNOLOGIQUE PRIVE,ANNA RODIER,PRIVE,75
1,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,3008,MOULINS,0030084A,LYCEE GENERAL PRIVE,SAINT BENOIT,PRIVE,104
2,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,3017,MOULINS,0030036Y,LYCEE GENERAL,THEODORE DE BANVILLE,PUBLIC,1051
3,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,3100,MONTLUCON,0030445T,LYCEE GENERAL PRIVE,SAINT-JOSEPH,PRIVE,66
4,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,3103,MONTLUCON,0030025L,LYCEE GENERAL,MADAME DE STAEL,PUBLIC,1033
5,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,3107,MONTLUCON,0030026M,LPO LYCEE DES METIERS,PAUL CONSTANS,PUBLIC,887
6,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,3304,CUSSET,0030072M,LYCEE GENERAL PRIVE,SAINT PIERRE,PRIVE,325
7,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,3306,CUSSET,0030051P,LGT LYCEE DES METIERS,ALBERT LONDRES,PUBLIC,1557
8,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,3306,CUSSET,0031082K,LYCEE POLYVALENT,VALERY LARBAUD,PUBLIC,238
9,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,3401,YZEURE,0030038A,LPO LYCEE DES METIERS,JEAN MONNET,PUBLIC,478
10,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,3500,SAINT-POURCAIN-SUR-SIOULE,0030044G,LYCEE GENERAL,BLAISE DE VIGENERE,PUBLIC,354
11,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,3600,COMMENTRY,0031044U,LYCEE POLYVALENT,GENEVIEVE VINCENT,PUBLIC,98
12,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,3800,GANNAT,0030073N,LYCEE GEN.ET TECHNOL.PRIVE,SAINTE PROCULE,PRIVE,43
13,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,CANTAL,15000,AURILLAC,0150760V,LYCEE POLYVALENT PRIVE,GERBERT,PRIVE,131
14,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,CANTAL,15005,AURILLAC,0150006A,LPO LYCEE DES METIERS,MONNET-MERMOZ,PUBLIC,703
15,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,CANTAL,15005,AURILLAC,0150646W,LYCEE GENERAL,EMILE DUCLAUX,PUBLIC,710
16,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,CANTAL,15013,AURILLAC,0150047V,LYCEE POLYVALENT PRIVE,DE LA COMMUNICATION ST GERAUD,PRIVE,95
17,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,CANTAL,15100,SAINT-FLOUR,0150051Z,LYCEE GENERAL PRIVE,LA PRESENTATION,PRIVE,39
18,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,CANTAL,15101,SAINT-FLOUR,0150030B,LYCEE POLYVALENT,DE HAUTE AUVERGNE,PUBLIC,452
19,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,CANTAL,15200,MAURIAC,0150747F,LPO LYCEE DES METIERS,,PUBLIC,231
20,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,43000,LE PUY-EN-VELAY,0430968U,LYCEE GENERAL PRIVE,ST-JACQUES DE COMPOSTELLE,PRIVE,232
21,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,43002,LE PUY-EN-VELAY,0430098Y,LPO PRIVE LYCEE DES METIERS,ANNE MARIE MARTEL,PRIVE,73
22,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,43003,LE PUY-EN-VELAY,0430020N,LPO LYCEE DES METIERS,CHARLES ET ADRIEN DUPUY,PUBLIC,478
23,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,43003,LE PUY-EN-VELAY,0430021P,LYCEE GENERAL ET TECHNOLOGIQUE,SIMONE WEIL,PUBLIC,1046
24,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,43101,BRIOUDE,0430053Z,LYCEE POLYVALENT PRIVE,SAINT JULIEN,PRIVE,206
25,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,43103,BRIOUDE,0430003V,LYCEE GENERAL ET TECHNOLOGIQUE,LA FAYETTE,PUBLIC,480
26,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,43120,MONISTROL-SUR-LOIRE,0430058E,LYCEE GEN.ET TECHNOL.PRIVE,NOTRE DAME DU CHATEAU,PRIVE,769
27,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,43120,MONISTROL-SUR-LOIRE,0430947W,LYCEE GENERAL ET TECHNOLOGIQUE,LEONARD DE VINCI,PUBLIC,944
28,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,43200,YSSINGEAUX,0430065M,LYCEE GEN.ET TECHNOL.PRIVE,SAINT-GABRIEL,PRIVE,211
29,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,43201,YSSINGEAUX,0430953C,LYCEE POLYVALENT,EMMANUEL CHABRIER,PUBLIC,264
30,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,43700,BRIVES-CHARENSAC,0430055B,LYCEE GEN.ET TECHNOL.PRIVE,LA CHARTREUSE PARADIS,PRIVE,465
31,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,63002,CLERMONT-FERRAND,0630021F,LPO LYCEE DES METIERS,LA FAYETTE,PUBLIC,733
32,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,63037,CLERMONT-FERRAND,0630018C,LYCEE GENERAL,BLAISE PASCAL,PUBLIC,991
33,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,63037,CLERMONT-FERRAND,0630019D,LYCEE INTERNATIONAL,JEANNE D'ARC,PUBLIC,1378
34,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,63037,CLERMONT-FERRAND,0630020E,LGT LYCEE DES METIERS,SIDOINE APOLLINAIRE,PUBLIC,832
35,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,63037,CLERMONT-FERRAND,0631068U,LYCEE GEN.ET TECHNOL.PRIVE,GODEFROY DE BOUILLON,PRIVE,653
36,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,63037,CLERMONT-FERRAND,0631074A,LYC GEN TECH PRIVE DES METIERS,FENELON,PRIVE,406
37,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,63037,CLERMONT-FERRAND,0631075B,LYCEE GEN.ET TECHNOL.PRIVE,SAINT ALYRE,PRIVE,575
38,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,63037,CLERMONT-FERRAND,0631847R,LYCEE GENERAL PRIVE,MASSILLON,PRIVE,361
39,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,63039,CLERMONT-FERRAND,0630077S,LYCEE GENERAL ET TECHNOLOGIQUE,AMBROISE BRUGIERE,PUBLIC,944
40,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,63120,COURPIERE,0631032E,LYCEE GENERAL PRIVE,SAINT PIERRE,PRIVE,113
41,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,63201,RIOM,0630052P,LYCEE GENERAL ET TECHNOLOGIQUE,C. ET P. VIRLOGEUX,PUBLIC,1253
42,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,63201,RIOM,0630054S,LP LYCEE DES METIERS,MARIE LAURENCIN,PUBLIC,11
43,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,63201,RIOM,0631985R,LPO LYCEE DES METIERS,PIERRE JOEL BONTE,PUBLIC,349
44,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,63203,RIOM,0631034G,LYCEE GENERAL PRIVE,SAINTE MARIE,PRIVE,256
45,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,63300,THIERS,0630069H,LYCEE GENERAL ET TECHNOLOGIQUE,JEAN ZAY,PUBLIC,311
46,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,63304,THIERS,0630068G,LYCEE GENERAL ET TECHNOLOGIQUE,MONTDORY,PUBLIC,684
47,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,63400,CHAMALIERES,0631669X,LPO LYCEE DES METIERS,VALERY GISCARD D'ESTAING,PUBLIC,681
48,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,63402,CHAMALIERES,0631070W,LYC GEN TECH PRIVE DES METIERS,SAINTE THECLE,PRIVE,360
49,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,63500,ISSOIRE,0630034V,LYCEE GENERAL ET TECHNOLOGIQUE,MURAT,PUBLIC,980
50,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,63500,ISSOIRE,0631033F,LYCEE GEN.ET TECHNOL.PRIVE,SEVIGNE SAINT LOUIS,PRIVE,241
51,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,63600,AMBERT,0630001J,LYCEE POLYVALENT,BLAISE PASCAL,PUBLIC,289
52,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,63801,COURNON-D'AUVERGNE,0631861F,LYCEE GENERAL ET TECHNOLOGIQUE,RENE DESCARTES,PUBLIC,1421
53,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,ARDECHE,7000,PRIVAS,0070069M,LYC GEN TECH PRIVE,SACRE COEUR  NOTRE DAME,PRIVE,176
54,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,ARDECHE,7006,PRIVAS,0070021K,LYCEE POLYVALENT,VINCENT D'INDY,PUBLIC,736
55,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,ARDECHE,7101,ANNONAY,0070001N,LPO LYCEE DES METIERS,BOISSY D'ANGLAS,PUBLIC,1008
56,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,ARDECHE,7101,ANNONAY,0071126L,LYCEE GENERAL ET TECHNOL PR,SAINT DENIS,PRIVE,1145
57,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,ARDECHE,7160,LE CHEYLARD,0071397F,LYCEE POLYVALENT,LE CHEYLARD,PUBLIC,293
58,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,ARDECHE,7201,AUBENAS,0070064G,LYCEE POLYVALENT PRIVE,JULES FROMENT,PRIVE,639
59,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,ARDECHE,7205,AUBENAS,0070003R,LYCEE POLYVALENT,MARCEL GIMOND,PUBLIC,761
60,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,ARDECHE,7205,AUBENAS,0070004S,LYCEE POLYVALENT,ASTIER,PUBLIC,248
61,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,ARDECHE,7301,TOURNON-SUR-RHONE,0070029U,LPO LYCEE DES METIERS,GABRIEL FAURE,PUBLIC,768
62,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,ARDECHE,7301,TOURNON-SUR-RHONE,0070071P,LYCEE POLYVALENT PRIVE,SACRE COEUR,PRIVE,495
63,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,ARDECHE,7400,LE TEIL,0071351F,LYCEE POLYVALENT,XAVIER MALLET,PUBLIC,399
64,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,ARDECHE,7700,BOURG-SAINT-ANDEOL,0070066J,LYCEE GENERAL ET TECHNOL PR,MARIE RIVIER,PRIVE,456
65,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,DROME,26000,VALENCE,0260071L,LYCEE GENERAL PRIVE,SAINT VICTOR,PRIVE,343
66,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,DROME,26000,VALENCE,0260074P,LYC TECHNOL PRIVE,MONTPLAISIR,PRIVE,428
67,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,DROME,26008,VALENCE,0260069J,LYCEE GENERAL PRIVE,NOTRE DAME,PRIVE,706
68,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,DROME,26021,VALENCE,0260034W,LYCEE GENERAL,EMILE LOUBET,PUBLIC,780
69,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,DROME,26021,VALENCE,0260035X,LYCEE GENERAL,CAMILLE VERNET,PUBLIC,829
70,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,DROME,26102,ROMANS-SUR-ISERE,0260022H,LYCEE GENERAL,ALBERT TRIBOULET,PUBLIC,1050
71,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,DROME,26103,ROMANS-SUR-ISERE,0260023J,LPO LYCEE DES METIERS,DU DAUPHINE,PUBLIC,676
72,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,DROME,26106,ROMANS-SUR-ISERE,0260066F,LYCEE GENERAL PRIVE,SAINT MAURICE,PRIVE,368
73,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,DROME,26110,NYONS,0260017C,LYCEE GENERAL ET TECHNOLOGIQUE,ROUMANILLE,PUBLIC,573
74,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,DROME,26150,DIE,0260008T,LYCEE GENERAL,DU DIOIS,PUBLIC,242
75,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,DROME,26200,MONTELIMAR,0260064D,LYCEE GENERAL PRIVE,CHABRILLAN ST JEAN-BAPTISTE,PRIVE,207
76,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,DROME,26201,MONTELIMAR,0260113G,LPO LYCEE DES METIERS,LES CATALINS,PUBLIC,598
77,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,DROME,26216,MONTELIMAR,0260015A,LYCEE GENERAL ET TECHNOLOGIQUE,ALAIN BORNE,PUBLIC,1319
78,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,DROME,26241,SAINT-VALLIER,0261397C,LPO LYCEE DES METIERS,HENRI LAURENS,PUBLIC,400
79,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,DROME,26330,CHATEAUNEUF-DE-GALAURE,0260063C,LYCEE GENERAL PRIVE,NOTRE DAME DE LA GALAURE,PRIVE,409
80,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,DROME,26402,CREST,0260006R,LYCEE POLYVALENT,FRANCOIS JEAN ARMORIN,PUBLIC,366
81,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,DROME,26402,CREST,0260072M,LYCEE POLYVALENT PRIVE,SAINT LOUIS,PRIVE,160
82,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,DROME,26500,BOURG-LES-VALENCE,0261277X,LYCEE GENERAL ET TECHNOLOGIQUE,LES TROIS SOURCES,PUBLIC,775
83,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,DROME,26702,PIERRELATTE,0260019E,LYCEE POLYVALENT,DR. GUSTAVE JAUME,PUBLIC,739
84,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,DROME,26901,VALENCE,0261505V,LPO LYCEE DES METIERS,ALGOUD - LAFFEMAS,PUBLIC,1373
85,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,74000,ANNECY,0740054G,LYCEE PROFESSIONNEL,GERMAIN SOMMEILLER,PUBLIC,21
86,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,74007,ANNECY,0740082M,LYCEE GENERAL ET TECHNOL PR,SAINT MICHEL,PRIVE,802
87,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,74008,ANNECY,0740003B,LYCEE GENERAL,CLAUDE LOUIS BERTHOLLET,PUBLIC,1368
88,2020,AUVERGNE-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,74008,ANNECY,0740005D,LYCEE GENERAL ET TECHNOLOGIQUE,GABRIEL FAURE,PUBLIC,1575
