uai,rentree_scolaire,region_academique,academie,departement,commune,denomination_principale,secteur,nb_eleves,rep,ips
0952205F,2019-01-01,ILE-DE-FRANCE,VERSAILLES,VAL-D'OISE,HERBLAY,COLLEGE,PUBLIC,513,0,116.3
0950812S,2019-01-01,ILE-DE-FRANCE,VERSAILLES,VAL-D'OISE,FRANCONVILLE,LYCEE POLYVALENT PRIVE,PRIVE,32,0,115.1
0952127W,2019-01-01,ILE-DE-FRANCE,VERSAILLES,VAL-D'OISE,EZANVILLE,COLLEGE,PUBLIC,607,0,112.3
0951194G,2019-01-01,ILE-DE-FRANCE,VERSAILLES,VAL-D'OISE,ERAGNY,COLLEGE,PUBLIC,516,0,103.8
0950892D,2019-01-01,ILE-DE-FRANCE,VERSAILLES,VAL-D'OISE,EAUBONNE,COLLEGE,PUBLIC,511,0,124.5
0951697D,2019-01-01,ILE-DE-FRANCE,VERSAILLES,VAL-D'OISE,CERGY,COLLEGE,PUBLIC,694,1,89.5
0951822P,2019-01-01,ILE-DE-FRANCE,VERSAILLES,VAL-D'OISE,BOUFFEMONT,COLLEGE,PUBLIC,408,0,111.3
0950888Z,2019-01-01,ILE-DE-FRANCE,VERSAILLES,VAL-D'OISE,BEZONS,COLLEGE,PUBLIC,766,1,90.5
0950887Y,2019-01-01,ILE-DE-FRANCE,VERSAILLES,VAL-D'OISE,BEZONS,COLLEGE,PUBLIC,697,1,85.1
0950933Y,2019-01-01,ILE-DE-FRANCE,VERSAILLES,VAL-D'OISE,BEAUMONT-SUR-OISE,COLLEGE,PUBLIC,607,0,107.9
0951094Y,2019-01-01,ILE-DE-FRANCE,VERSAILLES,VAL-D'OISE,ARGENTEUIL,COLLEGE,PUBLIC,613,1,91.2
0950885W,2019-01-01,ILE-DE-FRANCE,VERSAILLES,VAL-D'OISE,ARGENTEUIL,COLLEGE,PUBLIC,494,1,79.9
0921543C,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,VILLENEUVE-LA-GARENNE,COLLEGE,PUBLIC,645,1,88.3
0921935D,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,VAUCRESSON,ETAB.REGIONAL ENSEIGNT ADAPTE,PUBLIC,156,0,
0920885M,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,SURESNES,COLLEGE,PUBLIC,428,0,97.6
0920884L,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,SURESNES,COLLEGE,PUBLIC,714,0,128.7
0921918K,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,SCEAUX,COLLEGE PRIVE,PRIVE,605,0,135.8
0921784P,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,SCEAUX,COLLEGE,PUBLIC,627,0,143.8
0922276Z,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,SAINT-CLOUD,LPO LYCEE DES METIERS,PUBLIC,24,0,94.1
0920700L,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,SAINT-CLOUD,COLLEGE,PUBLIC,444,0,130.5
0921502H,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,RUEIL-MALMAISON,COLLEGE,PUBLIC,570,0,139.2
0921018G,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,RUEIL-MALMAISON,COLLEGE PRIVE,PRIVE,606,0,151.2
0920852B,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,RUEIL-MALMAISON,COLLEGE,PUBLIC,233,0,98.4
0921233R,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,PUTEAUX,COLLEGE,PUBLIC,768,0,115.6
0921219A,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,PUTEAUX,COLLEGE,PUBLIC,497,0,108.8
0921780K,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,NEUILLY-SUR-SEINE,COLLEGE,PUBLIC,689,0,143.5
0920882J,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,NANTERRE,COLLEGE,PUBLIC,497,1,96.0
0920594W,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,NANTERRE,COLLEGE,PUBLIC,480,1,90.8
0921504K,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,MONTROUGE,COLLEGE,PUBLIC,481,0,124.8
0920164D,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,MONTROUGE,LP LYCEE DES METIERS,PUBLIC,25,0,86.1
0921554P,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,MEUDON,COLLEGE,PUBLIC,447,0,131.9
0921241Z,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,MALAKOFF,COLLEGE,PUBLIC,618,0,112.4
0922630J,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,LEVALLOIS-PERRET,COLLEGE,PUBLIC,635,0,125.6
0921393P,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,LEVALLOIS-PERRET,COLLEGE,PUBLIC,751,0,125.2
0920883K,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,LE PLESSIS-ROBINSON,COLLEGE,PUBLIC,425,0,119.3
0922247T,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,ISSY-LES-MOULINEAUX,COLLEGE,PUBLIC,574,0,132.8
0921621M,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,GENNEVILLIERS,COLLEGE,PUBLIC,706,0,83.1
0921157H,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,GENNEVILLIERS,COLLEGE,PUBLIC,931,1,89.3
0920081N,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,FONTENAY-AUX-ROSES,COLLEGE,PUBLIC,738,0,113.3
0922482Y,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,COURBEVOIE,COLLEGE PRIVE,PRIVE,212,0,150.5
0921550K,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,COURBEVOIE,COLLEGE,PUBLIC,529,0,119.3
0921496B,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,COURBEVOIE,COLLEGE,PUBLIC,684,0,116.2
0921675W,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,COLOMBES,COLLEGE,PUBLIC,565,1,92.4
0921229L,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,COLOMBES,LPO LYCEE DES METIERS,PUBLIC,24,0,80.3
0920626F,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,COLOMBES,COLLEGE,PUBLIC,589,0,127.9
0920653K,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,CLAMART,COLLEGE,PUBLIC,686,0,128.7
0921905W,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,BOURG-LA-REINE,COLLEGE PRIVE,PRIVE,932,0,145.5
0921236U,2019-01-01,ILE-DE-FRANCE,VERSAILLES,HAUTS-DE-SEINE,BOULOGNE-BILLANCOURT,COLLEGE,PUBLIC,751,0,127.5
0910756C,2019-01-01,ILE-DE-FRANCE,VERSAILLES,ESSONNE,YERRES,LP LYCEE DES METIERS,PUBLIC,24,0,80.5
0911335G,2019-01-01,ILE-DE-FRANCE,VERSAILLES,ESSONNE,VILLEBON-SUR-YVETTE,COLLEGE,PUBLIC,620,0,119.6
0910776Z,2019-01-01,ILE-DE-FRANCE,VERSAILLES,ESSONNE,VIGNEUX-SUR-SEINE,COLLEGE,PUBLIC,752,1,84.3
0912142J,2019-01-01,ILE-DE-FRANCE,VERSAILLES,ESSONNE,SAVIGNY-SUR-ORGE,LPO LYCEE DES METIERS,PUBLIC,24,0,95.5
0911038J,2019-01-01,ILE-DE-FRANCE,VERSAILLES,ESSONNE,SAVIGNY-SUR-ORGE,COLLEGE,PUBLIC,523,0,109.6
0910836P,2019-01-01,ILE-DE-FRANCE,VERSAILLES,ESSONNE,SAVIGNY-SUR-ORGE,COLLEGE PRIVE,PRIVE,223,0,125.6
0911946W,2019-01-01,ILE-DE-FRANCE,VERSAILLES,ESSONNE,SAINT-MICHEL-SUR-ORGE,LYCEE POLYVALENT,PUBLIC,23,0,103.1
