,rentree_scolaire,academie,code_du_departement,departement,uai,nom_de_letablissment,code_insee_de_la_commune,nom_de_la_commune,secteur,type_de_lycee,ips_voie_gt,ips_voie_pro,ips_ensemble_gt-pro,ecart-type_de_lips_voie_gt,ecart-type_de_lips_voie_pro
0,2018-01-01,CRETEIL,77.0,SEINE-ET-MARNE,0770942F,LYCEE POLYVALENT THIBAUT DE CHAMPAGNE,77379.0,PROVINS,public,LPO,101.4,85.4,98.5,,
1,2018-01-01,CRETEIL,77.0,SEINE-ET-MARNE,0770944H,LYCEE PROFESSIONNEL AUGUSTE PERDONNET,77464.0,THORIGNY SUR MARNE,public,LP,,88.2,88.2,,
2,2018-01-01,CRETEIL,77.0,SEINE-ET-MARNE,0771246L,LYCEE GENERAL BOSSUET,77284.0,MEAUX,privé sous contrat,LEGT,122.5,,122.5,,
3,2018-01-01,CRETEIL,77.0,SEINE-ET-MARNE,0771663P,LYCEE GENERAL ET TECHNOLOGIQUE GEORGE SAND,77285.0,LE MEE SUR SEINE,public,LEGT,94.8,,94.8,,
4,2018-01-01,CRETEIL,77.0,SEINE-ET-MARNE,0771720B,LYCEE GENERAL PRIVE GUY GASNIER SAINTE BATHILDE,77108.0,CHELLES,privé sous contrat,LEGT,123.7,,123.7,,
5,2018-01-01,CRETEIL,77.0,SEINE-ET-MARNE,0771996B,LYCEE POLYVALENT HONORE DE BALZAC,77294.0,MITRY MORY,public,LEGT,107.4,,107.4,,
6,2018-01-01,CRETEIL,77.0,SEINE-ET-MARNE,0771997C,LYCEE PROFESSIONNEL JACQUES PREVERT LYCEE DES METIERS DES SYSTEMES ELECTRONIQUES NUMERIQUES ET DE L ELECTROTECHNIQUE,77122.0,COMBS LA VILLE,public,LP,,94.8,94.8,,
7,2018-01-01,CRETEIL,77.0,SEINE-ET-MARNE,0772225A,LYCEE PROFESSIONNEL LINO VENTURA LYCEE DES METIERS DE LA SANTE ET DE L AIDE A LA PERSONNE,77350.0,OZOIR LA FERRIERE,public,LPO,109.7,93.2,95.4,,
8,2018-01-01,CRETEIL,77.0,SEINE-ET-MARNE,0772230F,LYCEE POLYVALENT BLAISE PASCAL,77053.0,BRIE COMTE ROBERT,public,LPO,122.7,99.3,118.2,,
9,2018-01-01,CRETEIL,77.0,SEINE-ET-MARNE,0772244W,LYCEE PROFESSIONNEL ANTONIN CAREME LYCEE DES METIERS DE L HOTELLERIE ET DE LA RESTAURATION,77445.0,SAVIGNY LE TEMPLE,public,LPO,104.0,84.3,85.5,,
10,2018-01-01,CRETEIL,77.0,SEINE-ET-MARNE,0772312V,LYCEE POLYVALENT FLORA TRISTAN LYCEE DES METIERS DE L ADMINISTRATION DES PME PMI LYCEE DES METIERS DE LA MODE,77305.0,MONTEREAU FAULT YONNE,public,LPO,81.4,80.5,80.7,,
11,2018-01-01,CRETEIL,77.0,SEINE-ET-MARNE,0772751X,LYCEE POLYVALENT CHARLOTTE DELBO,77153.0,DAMMARTIN EN GOELE,public,LPO,114.1,92.6,108.8,,
12,2018-01-01,CRETEIL,77.0,SEINE-ET-MARNE,0772840U,LYCEE PRIVE LA SALLE SAINT MARIE,77431.0,SAINT PIERRE LES NEMOURS,privé sous contrat,LEGT,126.6,,126.6,,
13,2018-01-01,VERSAILLES,78.0,YVELINES,0781581V,LYCEE PROFESSIONNEL PRIVE SAINT THOMAS,78551.0,SAINT GERMAIN EN LAYE,privé sous contrat,LP,,134.4,134.4,,
14,2018-01-01,VERSAILLES,78.0,YVELINES,0781859X,LYCEE POLYVALENT VINCENT VAN GOGH,78029.0,AUBERGENVILLE,public,LPO,126.1,94.0,122.7,,
15,2018-01-01,VERSAILLES,78.0,YVELINES,0781948U,LYCEE POLYVALENT ANTOINE LAVOISIER,78501.0,PORCHEVILLE,public,LPO,107.9,86.4,88.4,,
16,2018-01-01,VERSAILLES,78.0,YVELINES,0781952Y,LYCEE POLYVALENT SONIA DELAUNAY,78674.0,VILLEPREUX,public,LEGT,127.5,,127.5,,
17,2018-01-01,VERSAILLES,78.0,YVELINES,0781974X,LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT EXUPERY,78423.0,MONTIGNY LE BRETONNEUX,privé sous contrat,LEGT,137.0,,137.0,,
18,2018-01-01,VERSAILLES,78.0,YVELINES,0781983G,LYCEE PROFESSIONNEL ADRIENNE BOLLAND LYCEE DES METIERS DES ARTS DU BOIS DES SERVICES ET DE LA MODE,78498.0,POISSY,public,LP,,86.7,86.7,,
19,2018-01-01,VERSAILLES,78.0,YVELINES,0782557F,LYCEE POLYVALENT JEAN BAPTISTE POQUELIN LYCEE DES METIERS DU MANAGEMENT ET DE LA GESTION,78551.0,SAINT GERMAIN EN LAYE,public,LPO,111.2,96.1,105.4,,
