region_academique,departement,nb_etablissements,nb_eleves,rep_percentage,avg_ips,nb_eleve_par_etablissement
AUVERGNE-RHONE-ALPES,LOIRE,367,150671,7.92,98.90,410
AUVERGNE-RHONE-ALPES,ARDECHE,165,63179,4.26,101.87,382
AUVERGNE-RHONE-ALPES,ISERE,520,266161,7.71,109.38,511
AUVERGNE-RHONE-ALPES,DROME,223,102873,11.48,105.44,461
AUVERGNE-RHONE-ALPES,RHONE,790,395818,7.47,106.51,501
AUVERGNE-RHONE-ALPES,CANTAL,110,22039,0.00,105.29,200
AUVERGNE-RHONE-ALPES,SAVOIE,202,83279,1.72,108.88,412
AUVERGNE-RHONE-ALPES,PUY-DE-DOME,322,118292,2.16,104.32,367
AUVERGNE-RHONE-ALPES,HAUTE-LOIRE,167,43786,0.00,102.81,262
AUVERGNE-RHONE-ALPES,HAUTE SAVOIE,314,168577,4.65,110.33,536
AUVERGNE-RHONE-ALPES,AIN,259,139476,2.67,106.80,538
AUVERGNE-RHONE-ALPES,ALLIER,182,55766,7.69,98.11,306
BOURGOGNE-FRANCHE-COMTE,DOUBS,242,107158,5.56,101.08,442
BOURGOGNE-FRANCHE-COMTE,NIEVRE,137,33358,14.88,99.27,243
BOURGOGNE-FRANCHE-COMTE,YONNE,147,62256,14.40,98.44,423
BOURGOGNE-FRANCHE-COMTE,TERRITOIRE DE BELFORT,70,29167,10.00,101.17,416
BOURGOGNE-FRANCHE-COMTE,HAUTE-SAONE,120,42898,11.11,98.13,357
BOURGOGNE-FRANCHE-COMTE,JURA,160,47343,4.41,101.56,295
BOURGOGNE-FRANCHE-COMTE,SAONE-ET-LOIRE,259,98502,9.50,100.99,380
BOURGOGNE-FRANCHE-COMTE,COTE D'OR,239,96528,3.08,106.43,403
BRETAGNE,FINISTERE,449,171960,3.25,107.18,382
BRETAGNE,COTES D'ARMOR,309,111939,3.37,103.10,362
BRETAGNE,ILLE-ET-VILAINE,450,230590,4.81,109.57,512
BRETAGNE,MORBIHAN,355,145407,1.95,104.32,409
CENTRE-VAL DE LOIRE,LOIRET,285,144298,7.35,101.51,506
CENTRE-VAL DE LOIRE,EURE-ET-LOIR,192,89480,12.21,102.48,466
CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE,277,116569,2.48,107.79,420
CENTRE-VAL DE LOIRE,INDRE,131,35938,2.65,98.34,274
CENTRE-VAL DE LOIRE,CHER,130,49371,7.89,97.57,379
CENTRE-VAL DE LOIRE,LOIR-ET-CHER,149,60843,2.33,101.19,408
CORSE,HAUTE-CORSE,62,28194,25.00,102.19,454
CORSE,CORSE-DU-SUD,58,24935,37.50,101.87,429
GRAND EST,HAUT-RHIN,314,146078,2.33,100.82,465
GRAND EST,MOSELLE,454,194861,9.47,96.66,429
GRAND EST,VOSGES,208,66190,8.33,97.10,318
GRAND EST,AUBE,140,59438,12.50,98.31,424
GRAND EST,HAUTE-MARNE,115,30249,9.09,95.92,263
GRAND EST,BAS-RHIN,448,214016,5.69,105.45,477
GRAND EST,MEUSE,114,31740,5.88,94.96,278
GRAND EST,ARDENNES,165,49439,14.89,93.07,299
